IPCC_emissions_SO2_anthropogenic_1900_0.5x0.5_v1_13_05_2009.nc; Industrial sector emissions for SO2;emiss_ind
IPCC_emissions_SO2_anthropogenic_1900_0.5x0.5_v1_13_05_2009.nc;transportation sector emissions for SO2;emiss_tra
IPCC_emissions_SO2_anthropogenic_1900_0.5x0.5_v1_13_05_2009.nc;Waste treatment sector emissions for SO2;emiss_wst
IPCC_emissions_SO2_anthropogenic_1910_0.5x0.5_v1_13_05_2009.nc;Agricultural waste burning emissions for SO2;emiss_awb
IPCC_emissions_SO2_anthropogenic_1910_0.5x0.5_v1_13_05_2009.nc;Domestic sector emissions for SO2;emiss_dom
IPCC_emissions_SO2_anthropogenic_1910_0.5x0.5_v1_13_05_2009.nc; Industrial sector emissions for SO2;emiss_ind
IPCC_emissions_SO2_anthropogenic_1910_0.5x0.5_v1_13_05_2009.nc;transportation sector emissions for SO2;emiss_tra
IPCC_emissions_SO2_anthropogenic_1910_0.5x0.5_v1_13_05_2009.nc;Waste treatment sector emissions for SO2;emiss_wst
IPCC_emissions_SO2_anthropogenic_1920_0.5x0.5_v1_13_05_2009.nc;Agricultural waste burning emissions for SO2;emiss_awb
IPCC_emissions_SO2_anthropogenic_1920_0.5x0.5_v1_13_05_2009.nc;Domestic sector emissions for SO2;emiss_dom
IPCC_emissions_SO2_anthropogenic_1920_0.5x0.5_v1_13_05_2009.nc; Industrial sector emissions for SO2;emiss_ind
IPCC_emissions_SO2_anthropogenic_1920_0.5x0.5_v1_13_05_2009.nc;transportation sector emissions for SO2;emiss_tra
IPCC_emissions_SO2_anthropogenic_1920_0.5x0.5_v1_13_05_2009.nc;Waste treatment sector emissions for SO2;emiss_wst
IPCC_emissions_SO2_anthropogenic_1930_0.5x0.5_v1_13_05_2009.nc;Agricultural waste burning emissions for SO2;emiss_awb
IPCC_emissions_SO2_anthropogenic_1930_0.5x0.5_v1_13_05_2009.nc;Domestic sector emissions for SO2;emiss_dom
IPCC_emissions_SO2_anthropogenic_1930_0.5x0.5_v1_13_05_2009.nc; Industrial sector emissions for SO2;emiss_ind
IPCC_emissions_SO2_anthropogenic_1930_0.5x0.5_v1_13_05_2009.nc;transportation sector emissions for SO2;emiss_tra
IPCC_emissions_SO2_anthropogenic_1930_0.5x0.5_v1_13_05_2009.nc;Waste treatment sector emissions for SO2;emiss_wst
IPCC_emissions_SO2_anthropogenic_1940_0.5x0.5_v1_13_05_2009.nc;Agricultural waste burning emissions for SO2;emiss_awb
IPCC_emissions_SO2_anthropogenic_1940_0.5x0.5_v1_13_05_2009.nc;Domestic sector emissions for SO2;emiss_dom
IPCC_emissions_SO2_anthropogenic_1940_0.5x0.5_v1_13_05_2009.nc; Industrial sector emissions for SO2;emiss_ind
IPCC_emissions_SO2_anthropogenic_1940_0.5x0.5_v1_13_05_2009.nc;transportation sector emissions for SO2;emiss_tra
IPCC_emissions_SO2_anthropogenic_1940_0.5x0.5_v1_13_05_2009.nc;Waste treatment sector emissions for SO2;emiss_wst
IPCC_emissions_SO2_anthropogenic_1950_0.5x0.5_v1_13_05_2009.nc;Agricultural waste burning emissions for SO2;emiss_awb
IPCC_emissions_SO2_anthropogenic_1950_0.5x0.5_v1_13_05_2009.nc;Domestic sector emissions for SO2;emiss_dom
IPCC_emissions_SO2_anthropogenic_1950_0.5x0.5_v1_13_05_2009.nc; Industrial sector emissions for SO2;emiss_ind
IPCC_emissions_SO2_anthropogenic_1950_0.5x0.5_v1_13_05_2009.nc;transportation sector emissions for SO2;emiss_tra
IPCC_emissions_SO2_anthropogenic_1950_0.5x0.5_v1_13_05_2009.nc;Waste treatment sector emissions for SO2;emiss_wst
IPCC_emissions_SO2_anthropogenic_1960_0.5x0.5_v1_13_05_2009.nc;Agricultural waste burning emissions for SO2;emiss_awb
IPCC_emissions_SO2_anthropogenic_1960_0.5x0.5_v1_13_05_2009.nc;Domestic sector emissions for SO2;emiss_dom
IPCC_emissions_SO2_anthropogenic_1960_0.5x0.5_v1_13_05_2009.nc; Industrial sector emissions for SO2;emiss_ind
IPCC_emissions_SO2_anthropogenic_1960_0.5x0.5_v1_13_05_2009.nc;transportation sector emissions for SO2;emiss_tra
IPCC_emissions_SO2_anthropogenic_1960_0.5x0.5_v1_13_05_2009.nc;Waste treatment sector emissions for SO2;emiss_wst
IPCC_emissions_SO2_anthropogenic_1970_0.5x0.5_v1_13_05_2009.nc;Agricultural waste burning emissions for SO2;emiss_awb
IPCC_emissions_SO2_anthropogenic_1970_0.5x0.5_v1_13_05_2009.nc;Domestic sector emissions for SO2;emiss_dom
IPCC_emissions_SO2_anthropogenic_1970_0.5x0.5_v1_13_05_2009.nc; Industrial sector emissions for SO2;emiss_ind
IPCC_emissions_SO2_anthropogenic_1970_0.5x0.5_v1_13_05_2009.nc;transportation sector emissions for SO2;emiss_tra
IPCC_emissions_SO2_anthropogenic_1970_0.5x0.5_v1_13_05_2009.nc;Waste treatment sector emissions for SO2;emiss_wst
IPCC_emissions_SO2_anthropogenic_1980_0.5x0.5_v1_13_05_2009.nc;Agricultural waste burning emissions for SO2;emiss_awb
IPCC_emissions_SO2_anthropogenic_1980_0.5x0.5_v1_13_05_2009.nc;Domestic sector emissions for SO2;emiss_dom
IPCC_emissions_SO2_anthropogenic_1980_0.5x0.5_v1_13_05_2009.nc; Industrial sector emissions for SO2;emiss_ind
IPCC_emissions_SO2_anthropogenic_1980_0.5x0.5_v1_13_05_2009.nc;transportation sector emissions for SO2;emiss_tra
IPCC_emissions_SO2_anthropogenic_1980_0.5x0.5_v1_13_05_2009.nc;Waste treatment sector emissions for SO2;emiss_wst
IPCC_emissions_SO2_anthropogenic_1990_0.5x0.5_v1_13_05_2009.nc;Agricultural waste burning emissions for SO2;emiss_awb
IPCC_emissions_SO2_anthropogenic_1990_0.5x0.5_v1_13_05_2009.nc;Domestic sector emissions for SO2;emiss_dom
IPCC_emissions_SO2_anthropogenic_1990_0.5x0.5_v1_13_05_2009.nc; Industrial sector emissions for SO2;emiss_ind
IPCC_emissions_SO2_anthropogenic_1990_0.5x0.5_v1_13_05_2009.nc;transportation sector emissions for SO2;emiss_tra
IPCC_emissions_SO2_anthropogenic_1990_0.5x0.5_v1_13_05_2009.nc;Waste treatment sector emissions for SO2;emiss_wst
